Supplementary Table 5.  Genes annotated with “behavior” underneath each QTL (see “Candidate Gene Nomination” in Supplementary File 1).  ,,,,,,,,,,,,,,,
Gene Symbol,Chromosome,Gene Name,MGI ID,Start bp (GRCm39),End bp (GRCm39),Number of missense variants,Number of splice region variants,Number of inframe deletions,Number of inframe insertions,Number of nonsense mutations,Number of conserved element changes,Expressed in amygdala,Expressed in hippocampus,Expressed in prefrontal cortex,Interesting
Cfh,1,complement component factor h,MGI:88385,140013593,140111149,1,1,0,0,0,1,YES,YES,YES,YES
Clasp1,1,CLIP associating protein 1,MGI:1923957,118314976,118537192,0,0,0,0,0,0,NO,YES,YES,NO
Cntn2,1,contactin 2,MGI:104518,132437163,132470989,0,0,0,0,0,3,NO,YES,YES,YES
Cxcr4,1,chemokine (C-X-C motif) receptor 4,MGI:109563,128515936,128520030,0,0,0,0,0,1,YES,YES,YES,YES
Dbi,1,diazepam binding inhibitor,MGI:94865,120041010,120048808,0,0,0,0,0,0,NO,YES,YES,NO
Dcaf6,1,DDB1 and CUL4 associated factor 6,MGI:1921356,165157069,165288475,0,1,0,0,0,4,NO,YES,YES,YES
Dstyk,1,dual serine/threonine and tyrosine protein kinase,MGI:1925064,132345293,132394696,0,0,0,0,0,0,NO,YES,YES,NO
Edem3,1,"ER degradation enhancer, mannosidase alpha-like 3",MGI:1914217,151631122,151697802,0,0,0,0,0,0,NO,YES,YES,NO
Eif2d,1,eukaryotic translation initiation factor 2D,MGI:109342,131080918,131115395,0,0,0,0,0,4,NO,YES,YES,YES
Elf3,1,E74-like factor 3,MGI:1101781,135181312,135186210,0,0,0,0,0,2,YES,YES,NO,YES
Elk4,1,"ELK4, member of ETS oncogene family",MGI:102853,131935129,131954186,0,0,0,0,0,0,YES,YES,YES,NO
En1,1,engrailed 1,MGI:95389,120530216,120535720,0,0,0,0,0,1,YES,YES,NO,YES
F5,1,coagulation factor V,MGI:88382,163979407,164047846,2,2,0,0,0,5,NO,YES,NO,YES
Fcmr,1,Fc fragment of IgM receptor,MGI:1916419,130793514,130808527,0,0,0,0,0,0,NO,NO,YES,NO
Fmo3,1,flavin containing monooxygenase 3,MGI:1100496,162781369,162812097,0,0,0,0,0,1,YES,YES,NO,YES
Gli2,1,GLI-Kruppel family member GLI2,MGI:95728,118761862,118981349,0,0,0,0,0,0,YES,YES,YES,NO
Glul,1,glutamate-ammonia ligase (glutamine synthetase),MGI:95739,153775690,153785469,0,0,0,0,0,0,NO,YES,YES,NO
Gorab,1,"golgin, RAB6-interacting",MGI:2138271,163212477,163231238,0,0,0,0,0,0,NO,YES,YES,NO
Gpa33,1,glycoprotein A33 (transmembrane),MGI:1891703,165957807,165994079,1,0,0,0,0,0,NO,YES,NO,YES
Gpr161,1,G protein-coupled receptor 161,MGI:2685054,165123358,165154314,0,1,0,0,0,3,NO,YES,YES,YES
Gpr37l1,1,G protein-coupled receptor 37-like 1,MGI:1928503,135087988,135095419,0,0,0,0,0,1,NO,YES,YES,YES
Gpr39,1,G protein-coupled receptor 39,MGI:1918361,125604733,125801599,0,0,0,0,0,13,NO,NO,NO,NO
Gpr52,1,G protein-coupled receptor 52,MGI:3643278,160403908,160405544,0,0,0,0,0,1,NO,YES,YES,YES
Hmcn1,1,hemicentin 1,MGI:2685047,150438275,150869186,2,0,0,0,0,3,NO,YES,YES,YES
Il10,1,interleukin 10,MGI:96537,130947582,130952711,0,0,0,0,0,0,NO,NO,NO,NO
Inhbb,1,inhibin beta-B,MGI:96571,119343195,119349978,0,0,0,0,0,1,NO,YES,YES,YES
Kcnt2,1,"potassium channel, subfamily T, member 2",MGI:3036273,140173896,140539805,0,0,0,0,0,0,NO,YES,YES,NO
Kdm5b,1,lysine (K)-specific demethylase 5B,MGI:1922855,134487916,134560621,0,0,0,0,0,1,NO,YES,YES,YES
Kif14,1,kinesin family member 14,MGI:1098226,136394081,136459249,0,0,0,0,0,0,NO,NO,NO,NO
Kif21b,1,kinesin family member 21B,MGI:109234,136059127,136105736,0,4,0,0,0,10,NO,YES,YES,YES
Lamc1,1,"laminin, gamma 1",MGI:99914,153094668,153208532,0,0,0,0,0,0,YES,YES,YES,NO
Lamc2,1,"laminin, gamma 2",MGI:99913,152998502,153062193,0,0,0,0,0,0,NO,YES,YES,NO
Lmx1a,1,LIM homeobox transcription factor 1 alpha,MGI:1888519,167516806,167676310,0,0,0,0,0,0,NO,YES,NO,NO
Lrrn2,1,"leucine rich repeat protein 2, neuronal",MGI:106037,132808093,132867743,0,0,0,0,0,0,NO,YES,YES,NO
Lypd1,1,Ly6/Plaur domain containing 1,MGI:1919835,125795359,125840838,0,0,0,0,0,2,NO,YES,YES,YES
Marco,1,macrophage receptor with collagenous structure,MGI:1309998,120402267,120432753,0,0,0,0,0,0,NO,NO,NO,NO
Mettl18,1,methyltransferase like 18,MGI:1917212,163822458,163824812,0,0,0,0,0,0,NO,YES,YES,NO
Mgat5,1,mannoside acetylglucosaminyltransferase 5,MGI:894701,127132450,127413760,0,2,0,0,0,26,NO,YES,YES,YES
Myog,1,myogenin,MGI:97276,134217742,134220286,0,0,0,0,0,0,NO,NO,NO,NO
Nav1,1,neuron navigator 1,MGI:2183683,135362318,135615843,0,0,0,0,0,3,NO,YES,YES,YES
Ncf2,1,neutrophil cytosolic factor 2,MGI:97284,152675945,152712742,0,0,0,0,0,1,NO,YES,YES,YES
Nek7,1,NIMA (never in mitosis gene a)-related expressed kinase 7,MGI:1890645,138411575,138547495,0,0,0,0,0,3,YES,YES,YES,YES
Nfasc,1,neurofascin,MGI:104753,132492428,132669535,0,0,0,0,0,0,NO,YES,YES,NO
Nme7,1,NME/NM23 family member 7,MGI:2449121,164135091,164264870,0,0,0,0,0,0,YES,YES,YES,NO
Nmnat2,1,nicotinamide nucleotide adenylyltransferase 2,MGI:2444155,152830744,152995007,0,0,0,0,0,0,YES,YES,YES,NO
Nucks1,1,nuclear casein kinase and cyclin-dependent kinase substrate 1,MGI:1934811,131838272,131864059,0,0,0,0,0,0,NO,YES,YES,NO
Pm20d1,1,peptidase M20 domain containing 1,MGI:2442939,131725122,131749210,0,0,0,0,0,0,NO,YES,YES,NO
Ppfia4,1,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4",MGI:1915757,134224521,134260666,0,1,0,0,0,0,YES,YES,YES,YES
Ppp1r15b,1,"protein phosphatase 1, regulatory subunit 15B",MGI:2444211,133058904,133067538,0,0,0,0,0,1,NO,YES,YES,YES
Prg4,1,"proteoglycan 4 (megakaryocyte stimulating factor, articular superficial zone protein)",MGI:1891344,150325163,150341916,1,0,0,0,0,0,NO,YES,YES,YES
Prrc2c,1,proline-rich coiled-coil 2C,MGI:1913754,162499354,162568125,0,0,0,0,0,0,NO,YES,YES,NO
Prrx1,1,paired related homeobox 1,MGI:97712,163072688,163141279,0,0,0,0,0,1,YES,YES,YES,YES
Ptgs2,1,prostaglandin-endoperoxide synthase 2,MGI:97798,149975782,149983978,0,0,0,0,0,0,NO,YES,YES,NO
Ptpn4,1,"protein tyrosine phosphatase, non-receptor type 4",MGI:1099792,119580197,119765281,0,0,0,0,0,0,NO,YES,YES,NO
Rab3gap1,1,RAB3 GTPase activating protein subunit 1,MGI:2445001,127796510,127871605,0,0,0,0,0,2,NO,YES,YES,YES
Rasal2,1,RAS protein activator like 2,MGI:2443881,156962752,157240165,0,0,0,0,0,1,NO,YES,YES,YES
Ren1,1,renin 1 structural,MGI:97898,133278412,133288058,0,0,0,0,0,0,NO,YES,NO,NO
Rgl1,1,"ral guanine nucleotide dissociation stimulator,-like 1",MGI:107484,152392513,152642089,0,0,0,0,0,8,NO,YES,YES,YES
Rgs16,1,regulator of G-protein signaling 16,MGI:108407,153616099,153621214,0,0,0,0,0,0,NO,YES,YES,NO
Rgs18,1,regulator of G-protein signaling 18,MGI:1927498,144628421,144651165,0,0,0,0,0,0,NO,NO,NO,NO
Rgs2,1,regulator of G-protein signaling 2,MGI:1098271,143875076,143879887,0,0,0,0,0,0,NO,YES,YES,NO
Rxrg,1,retinoid X receptor gamma,MGI:98216,167425953,167467192,0,0,0,0,0,0,YES,YES,YES,NO
Sctr,1,secretin receptor,MGI:2441720,119934710,119991269,2,0,0,0,0,0,NO,YES,YES,YES
Scyl3,1,SCY1-like 3 (S. cerevisiae),MGI:1921385,163756669,163782695,0,0,0,0,0,0,NO,YES,YES,NO
Sele,1,"selectin, endothelial cell",MGI:98278,163875773,163885246,0,0,0,0,0,0,NO,YES,NO,NO
Selp,1,"selectin, platelet",MGI:98280,163942833,163977595,0,0,0,0,0,0,NO,YES,NO,NO
Shisa4,1,shisa family member 4,MGI:1924802,135299194,135302801,0,0,0,0,0,1,NO,YES,YES,YES
Slc19a2,1,"solute carrier family 19 (thiamine transporter), member 2",MGI:1928761,164076615,164092954,0,0,0,0,0,0,NO,YES,YES,NO
Slc26a9,1,"solute carrier family 26, member 9",MGI:2444594,131671760,131699242,0,0,0,0,0,0,NO,YES,NO,NO
Steap3,1,STEAP family member 3,MGI:1915678,120154137,120198810,1,0,0,0,0,6,NO,YES,YES,YES
Stx6,1,syntaxin 6,MGI:1926235,155034374,155083405,0,0,0,0,0,0,NO,YES,YES,NO
Suco,1,SUN domain containing ossification factor,MGI:2138346,161643683,161704251,0,0,0,0,0,2,NO,YES,YES,YES
Syt2,1,synaptotagmin II,MGI:99666,134574272,134680887,0,0,0,0,0,0,YES,YES,YES,NO
Tiprl,1,"TIP41, TOR signalling pathway regulator-like (S. cerevisiae)",MGI:1915087,165039855,165064565,0,0,0,0,0,0,NO,YES,YES,NO
Tmco1,1,transmembrane and coiled-coil domains 1,MGI:1921173,167136239,167161547,0,0,0,0,0,1,NO,YES,YES,YES
Tnn,1,tenascin N,MGI:2665790,159912599,159981150,0,0,0,0,0,0,NO,NO,NO,NO
Tnr,1,tenascin R,MGI:99516,159351339,159759299,0,0,0,0,0,4,NO,YES,YES,YES
Trmt1l,1,tRNA methyltransferase 1 like,MGI:1916185,151304293,151333912,0,0,0,0,0,0,NO,YES,YES,NO
Tsn,1,translin,MGI:109263,118226244,118239463,0,0,0,0,0,0,NO,YES,YES,NO
Uchl5,1,ubiquitin carboxyl-terminal esterase L5,MGI:1914848,143653010,143683204,0,0,0,0,0,2,NO,YES,YES,YES
Zfp281,1,zinc finger protein 281,MGI:3029290,136552639,136557791,0,0,0,0,0,0,NO,YES,YES,NO
a,2,nonagouti,MGI:87853,154792519,154892932,0,0,0,0,0,1,NO,NO,NO,NO
Abca2,2,"ATP-binding cassette, sub-family A (ABC1), member 2",MGI:99606,25318715,25338552,0,0,0,0,0,1,NO,YES,YES,YES
Abcb11,2,"ATP-binding cassette, sub-family B (MDR/TAP), member 11",MGI:1351619,69068626,69172960,0,0,0,0,0,0,NO,NO,NO,NO
Abhd12,2,abhydrolase domain containing 12,MGI:1923442,150674413,150746661,0,0,0,0,0,0,NO,YES,YES,NO
Abtb2,2,ankyrin repeat and BTB (POZ) domain containing 2,MGI:2139365,103396655,103548768,0,0,0,0,0,1,NO,YES,YES,YES
Acbd5,2,acyl-Coenzyme A binding domain containing 5,MGI:1921409,22958178,23004525,0,0,0,0,0,0,NO,YES,YES,NO
Acp2,2,"acid phosphatase 2, lysosomal",MGI:87882,91033230,91044443,0,0,0,0,0,0,YES,YES,YES,NO
Acss1,2,acyl-CoA synthetase short-chain family member 1,MGI:1915988,150460031,150510160,0,0,0,0,0,0,YES,YES,YES,NO
Actr5,2,ARP5 actin-related protein 5,MGI:1924748,158466808,158481131,0,0,0,0,0,0,NO,YES,YES,NO
Acvr1,2,"activin A receptor, type 1",MGI:87911,58336450,58456840,0,0,0,0,0,22,YES,YES,YES,YES
Acvr1c,2,"activin A receptor, type IC",MGI:2661081,58157465,58247907,0,0,0,0,0,2,YES,YES,YES,YES
Adra1d,2,"adrenergic receptor, alpha 1d",MGI:106673,131387770,131404203,0,0,0,0,0,0,NO,YES,YES,NO
Adra2b,2,"adrenergic receptor, alpha 2b",MGI:87935,127205128,127209141,0,0,0,0,0,0,YES,YES,NO,NO
Agpat2,2,"1-acylglycerol-3-phosphate O-acyltransferase 2 (lysophosphatidic acid acyltransferase, beta)",MGI:1914762,26483069,26494429,0,0,0,0,0,0,NO,YES,YES,NO
Ahcy,2,S-adenosylhomocysteine hydrolase,MGI:87968,154901230,154916417,0,0,0,0,0,2,YES,YES,YES,YES
Ak8,2,adenylate kinase 8,MGI:1916120,28590176,28703177,0,0,0,0,0,13,NO,YES,YES,YES
Ano3,2,anoctamin 3,MGI:3613666,110485546,110780854,0,0,0,0,0,1,NO,YES,YES,YES
Ap4e1,2,"adaptor-related protein complex AP-4, epsilon 1",MGI:1336993,126850637,126909829,0,0,0,0,0,0,NO,YES,YES,NO
Aplnr,2,apelin receptor,MGI:1346086,84966704,84970267,0,0,0,0,0,0,YES,YES,YES,NO
Apmap,2,adipocyte plasma membrane associated protein,MGI:1919131,150425000,150450487,0,0,0,0,0,1,NO,YES,YES,YES
Arhgap21,2,Rho GTPase activating protein 21,MGI:1918685,20852730,20973692,0,0,0,0,0,3,NO,YES,YES,YES
Arpc5l,2,"actin related protein 2/3 complex, subunit 5-like",MGI:1921442,38897583,38905890,0,0,0,0,0,3,NO,YES,YES,YES
Arrdc1,2,arrestin domain containing 1,MGI:2446136,24815364,24825264,0,0,0,0,0,0,NO,YES,YES,NO
Ass1,2,argininosuccinate synthetase 1,MGI:88090,31360282,31410682,0,0,0,0,0,1,NO,YES,YES,YES
Asxl1,2,ASXL transcriptional regulator 1,MGI:2684063,153187750,153245927,0,0,0,0,0,0,NO,YES,YES,NO
Atf2,2,activating transcription factor 2,MGI:109349,73646853,73722983,0,0,0,0,0,0,NO,YES,YES,NO
Atp5g3,2,"ATP synthase, H+ transporting, mitochondrial F0 complex, subunit C3 (subunit 9)",MGI:2442035,73738791,73741670,0,0,0,0,0,0,NO,YES,YES,NO
Atp9a,2,"ATPase, class II, type 9A",MGI:1330826,168476358,168584290,0,0,0,0,0,0,YES,YES,YES,NO
Atrn,2,attractin,MGI:1341628,130748415,130872253,1,0,0,0,0,7,NO,YES,YES,YES
Avp,2,arginine vasopressin,MGI:88121,130422540,130424474,0,0,0,0,0,0,NO,YES,YES,NO
B4galt5,2,"UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5",MGI:1927169,167140364,167191103,0,0,0,0,0,0,NO,YES,YES,NO
Bahd1,2,bromo adjacent homology domain containing 1,MGI:2139371,118730858,118755009,0,0,0,0,0,0,NO,YES,YES,NO
Barhl1,2,BarH like homeobox 1,MGI:1859288,28797691,28806680,0,0,0,0,0,0,NO,NO,NO,NO
Bbox1,2,"butyrobetaine (gamma), 2-oxoglutarate dioxygenase 1 (gamma-butyrobetaine hydroxylase)",MGI:1891372,110094401,110145158,0,0,0,0,0,0,NO,YES,NO,NO
Bbs5,2,Bardet-Biedl syndrome 5 (human),MGI:1919819,69477515,69497915,0,0,0,0,0,0,NO,YES,YES,NO
Bcas1,2,brain enriched myelin associated protein 1,MGI:1924210,170188911,170269765,0,0,0,0,0,0,NO,YES,YES,NO
Bcl2l1,2,BCL2-like 1,MGI:88139,152622588,152673648,0,0,0,0,0,0,NO,YES,YES,NO
Bdnf,2,brain derived neurotrophic factor,MGI:88145,109505045,109557352,0,0,0,0,0,1,YES,YES,YES,YES
Bfsp1,2,"beaded filament structural protein 1, in lens-CP94",MGI:101770,143668448,143705093,0,0,0,0,0,0,NO,YES,YES,NO
Bloc1s6,2,"biogenesis of lysosomal organelles complex-1, subunit 6, pallidin",MGI:1927580,122580423,122591395,0,0,0,0,0,0,NO,YES,YES,NO
Bmi1,2,Bmi1 polycomb ring finger oncogene,MGI:88174,18681829,18691440,0,0,0,0,0,20,YES,YES,YES,YES
Bpifa2,2,"BPI fold containing family A, member 2",MGI:97787,153850196,153857993,0,0,0,0,0,0,YES,YES,NO,NO
Brd3,2,bromodomain containing 3,MGI:1914632,27335588,27397669,0,0,0,0,0,0,NO,YES,YES,NO
Btbd3,2,BTB (POZ) domain containing 3,MGI:2385155,138098478,138129344,0,0,0,0,0,1,NO,YES,YES,YES
Bub1b,2,"BUB1B, mitotic checkpoint serine/threonine kinase",MGI:1333889,118428692,118472072,0,0,0,0,0,0,NO,YES,YES,NO
C1ql3,2,C1q-like 3,MGI:2387350,13008268,13016617,0,0,0,0,0,1,NO,YES,YES,YES
Cacfd1,2,calcium channel flower domain containing 1,MGI:1924317,26899938,26911101,0,0,0,0,0,0,NO,YES,YES,NO
Cacna1b,2,"calcium channel, voltage-dependent, N type, alpha 1B subunit",MGI:88296,24493899,24653164,0,3,0,0,0,6,NO,YES,YES,YES
Cacnb4,2,"calcium channel, voltage-dependent, beta 4 subunit",MGI:103301,52318332,52566816,0,0,0,0,0,11,NO,YES,YES,YES
Camk1d,2,calcium/calmodulin-dependent protein kinase ID,MGI:2442190,5298268,5719326,0,0,0,0,0,3,NO,YES,YES,YES
Camsap1,2,calmodulin regulated spectrin-associated protein 1,MGI:3036242,25816850,25873294,0,0,0,0,0,1,NO,YES,YES,YES
Capn3,2,calpain 3,MGI:107437,120294074,120335400,0,0,0,0,0,1,NO,YES,YES,YES
Caprin1,2,cell cycle associated protein 1,MGI:1858234,103593286,103627994,0,0,0,0,0,1,YES,YES,YES,YES
Ccdc141,2,coiled-coil domain containing 141,MGI:1919735,76840246,77000980,5,2,0,0,0,22,NO,YES,YES,YES
Ccdc3,2,coiled-coil domain containing 3,MGI:1921436,5142587,5235682,0,0,0,0,0,0,NO,YES,YES,NO
Ccdc9b,2,coiled-coil domain containing 9B,MGI:2685199,118584639,118593142,0,0,0,0,0,1,NO,YES,YES,YES
Ccndbp1,2,cyclin D-type binding-protein 1,MGI:109595,120838884,120847385,0,0,0,0,0,0,NO,YES,YES,NO
Cd44,2,CD44 antigen,MGI:88338,102641486,102732010,1,1,0,0,0,17,NO,YES,YES,YES
Cd59a,2,CD59a antigen,MGI:109177,103926146,103945699,0,0,0,0,0,0,NO,YES,YES,NO
Cdc123,2,cell division cycle 123,MGI:2138811,5799105,5849975,0,0,0,0,0,0,NO,YES,YES,NO
Cdin1,2,CDAN1 interacting nuclease 1,MGI:3026886,115412197,115609249,0,0,0,0,0,0,NO,YES,YES,NO
Cdk5rap1,2,CDK5 regulatory subunit associated protein 1,MGI:1914221,154177300,154214930,0,0,0,0,0,4,NO,YES,YES,YES
Cdk9,2,cyclin-dependent kinase 9 (CDC2-related kinase),MGI:1328368,32595796,32603088,0,0,0,0,0,0,NO,YES,YES,NO
Cdnf,2,cerebral dopamine neurotrophic factor,MGI:3606576,3514102,3527413,0,0,0,0,0,0,NO,YES,YES,NO
Cebpb,2,"CCAAT/enhancer binding protein (C/EBP), beta",MGI:88373,167530835,167532338,0,0,0,0,0,0,NO,YES,YES,NO
Cep250,2,centrosomal protein 250,MGI:108084,155798378,155840820,0,0,0,0,0,0,NO,YES,YES,NO
Cerkl,2,ceramide kinase-like,MGI:3037816,79162835,79259332,2,0,0,0,0,10,NO,YES,YES,YES
Cers6,2,ceramide synthase 6,MGI:2442564,68691785,68944626,0,0,0,0,0,10,NO,YES,YES,YES
Chd6,2,chromodomain helicase DNA binding protein 6,MGI:1918639,160788898,160950995,0,0,0,0,0,0,NO,YES,YES,NO
Chn1,2,chimerin 1,MGI:1915674,73441004,73605690,0,0,0,0,0,2,YES,YES,YES,YES
Chrm4,2,"cholinergic receptor, muscarinic 4",MGI:88399,91757594,91759033,0,0,0,0,0,0,YES,YES,YES,NO
Chrm5,2,"cholinergic receptor, muscarinic 5",MGI:109248,112309516,112311114,0,0,0,0,0,0,YES,YES,YES,NO
Chrna1,2,"cholinergic receptor, nicotinic, alpha polypeptide 1 (muscle)",MGI:87885,73393625,73410682,0,0,0,0,0,0,NO,YES,YES,NO
Chst1,2,carbohydrate sulfotransferase 1,MGI:1924219,92430052,92445595,0,0,0,0,0,3,YES,YES,YES,YES
Chst1,2,carbohydrate sulfotransferase 1,MGI:1924219,92430052,92445595,0,0,0,0,0,3,YES,YES,YES,YES
Chst14,2,carbohydrate sulfotransferase 14,MGI:1919386,118756978,118759066,0,0,0,0,0,0,NO,YES,YES,NO
Ciz1,2,CDKN1A interacting zinc finger protein 1,MGI:1920234,32252724,32268325,4,2,0,0,0,3,NO,YES,YES,YES
Ckap5,2,cytoskeleton associated protein 5,MGI:1923036,91357107,91451009,0,0,0,0,0,0,NO,YES,YES,NO
Ckmt1,2,"creatine kinase, mitochondrial 1, ubiquitous",MGI:99441,121188254,121194218,0,0,0,0,0,1,YES,YES,YES,YES
Clp1,2,"CLP1, cleavage and polyadenylation factor I subunit",MGI:2138968,84553466,84557631,0,0,0,0,0,1,NO,YES,YES,YES
Cox4i2,2,cytochrome c oxidase subunit 4I2,MGI:2135755,152596093,152606957,0,0,0,0,0,0,YES,YES,YES,NO
Crls1,2,cardiolipin synthase 1,MGI:1913836,132688586,132708705,0,0,0,0,0,1,YES,YES,YES,YES
Cry2,2,cryptochrome 2 (photolyase-like),MGI:1270859,92233991,92264388,0,0,0,0,0,0,YES,YES,YES,NO
Cstdc2,2,cystatin domain containing 2,MGI:1924955,148686540,148692882,0,0,0,0,0,0,NO,NO,NO,NO
Cstf3,2,"cleavage stimulation factor, 3' pre-RNA, subunit 3",MGI:1351825,104420868,104495774,0,0,0,0,0,0,NO,YES,YES,NO
Ctdspl2,2,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase like 2",MGI:1196405,121786482,121844123,0,0,0,0,0,0,NO,YES,YES,NO
Ctsa,2,cathepsin A,MGI:97748,164674793,164682952,0,0,0,0,0,3,NO,YES,YES,YES
D430041D05Rik,2,RIKEN cDNA D430041D05 gene,MGI:2181743,103973418,104241358,1,0,0,0,0,9,NO,YES,YES,YES
Dbh,2,dopamine beta hydroxylase,MGI:94864,27055519,27073216,2,1,0,0,0,2,NO,YES,YES,YES
Dcaf17,2,DDB1 and CUL4 associated factor 17,MGI:1923013,70885672,70929486,1,0,0,0,0,5,NO,YES,YES,YES
Dennd1a,2,DENN/MADD domain containing 1A,MGI:2442794,37689003,38177402,0,0,0,0,0,26,NO,YES,YES,YES
Dhtkd1,2,dehydrogenase E1 and transketolase domain containing 1,MGI:2445096,5901030,5947648,0,0,0,0,0,0,NO,YES,YES,NO
Dlgap4,2,DLG associated protein 4,MGI:2138865,156455625,156606283,0,0,0,0,0,2,NO,YES,YES,YES
Dlx2,2,distal-less homeobox 2,MGI:94902,71373752,71377098,0,0,0,0,0,0,YES,YES,YES,NO
Dnm1,2,dynamin 1,MGI:107384,32198483,32243350,0,0,0,0,0,3,NO,YES,YES,YES
Dolk,2,dolichol kinase,MGI:2677836,30174243,30176346,0,0,0,0,0,7,NO,YES,YES,YES
Dpm1,2,dolichol-phosphate (beta-D) mannosyltransferase 1,MGI:1330239,168050968,168072299,0,0,0,0,0,0,NO,YES,YES,NO
Dpp7,2,dipeptidylpeptidase 7,MGI:1933213,25242288,25246371,0,0,0,0,0,0,NO,YES,YES,NO
Duox2,2,dual oxidase 2,MGI:3036280,122109728,122128930,0,0,0,0,0,0,NO,YES,NO,NO
Duoxa2,2,dual oxidase maturation factor 2,MGI:1914061,122129381,122133366,0,0,0,0,0,0,NO,NO,NO,NO
Dusp15,2,dual specificity phosphatase-like 15,MGI:1934928,152782917,152793618,0,0,0,0,0,0,NO,YES,YES,NO
Dync1i2,2,dynein cytoplasmic 1 intermediate chain 2,MGI:107750,71042050,71093647,0,0,0,0,0,35,NO,YES,YES,YES
Dynlrb1,2,dynein light chain roadblock-type 1,MGI:1914318,155078453,155092197,0,0,0,0,0,0,YES,YES,YES,NO
Dzank1,2,double zinc ribbon and ankyrin repeat domains 1,MGI:2139080,144312477,144369334,0,0,0,0,0,0,NO,YES,YES,NO
Ehmt1,2,euchromatic histone methyltransferase 1,MGI:1924933,24680781,24809658,0,0,0,0,0,2,NO,YES,YES,YES
Eid1,2,EP300 interacting inhibitor of differentiation 1,MGI:1889651,125515015,125516705,0,0,0,0,0,0,NO,YES,YES,NO
Eif2ak4,2,eukaryotic translation initiation factor 2 alpha kinase 4,MGI:1353427,118219099,118305715,1,0,0,0,0,8,NO,YES,YES,YES
Eif2s2,2,"eukaryotic translation initiation factor 2, subunit 2 (beta)",MGI:1914454,154713330,154734826,0,0,0,0,0,1,NO,YES,YES,YES
Eif3m,2,"eukaryotic translation initiation factor 3, subunit M",MGI:1351744,104830001,104847372,0,0,0,0,0,1,NO,YES,YES,YES
Emc7,2,ER membrane protein complex subunit 7,MGI:1920274,112285342,112302507,0,0,0,0,0,0,NO,YES,YES,NO
Emilin3,2,elastin microfibril interfacer 3,MGI:2389142,160748357,160754248,0,0,0,0,0,0,NO,NO,NO,NO
Eng,2,endoglin,MGI:95392,32536607,32572681,3,1,0,0,0,8,NO,YES,YES,YES
